sample_id,variety,region,quality_score,quality_category,ripeness_index,ripeness_category,sugar_content_brix,firmness_kgf,length_cm,weight_g,harvest_date,tree_age_years,altitude_m,rainfall_mm,soil_nitrogen_ppm
1,Manzano,Colombia,1.88,Processing,2.11,Turning,16.83,3.53,21.44,146.92,2023-10-16,13.7,58.2,2440.5,183.6
2,Plantain,Guatemala,2.42,Processing,4.25,Ripe,16.73,4.09,26.11,160.48,2023-10-14,5.1,280.2,2374.6,109.8
3,Burro,Ecuador,3.57,Premium,6.24,Overripe,21.34,1.63,25.2,225.27,2023-09-08,17.7,1246.9,1191.5,147.7
4,Manzano,Ecuador,2.21,Processing,5.39,Ripe,16.75,3.31,13.08,137.8,2023-10-07,13.0,1150.2,2845.1,92.8
5,Red Dacca,Ecuador,2.35,Processing,5.84,Ripe,16.9,3.07,12.98,227.84,2023-10-02,4.8,526.0,2136.9,129.7
6,Fehi,Costa Rica,2.72,Good,4.95,Ripe,20.32,4.25,15.36,94.98,2023-10-06,19.3,565.2,1727.5,74.7
7,Burro,Brazil,2.44,Processing,5.15,Ripe,18.15,4.58,17.22,212.06,2023-09-04,11.3,800.3,2513.1,67.2
8,Burro,Costa Rica,3.06,Good,6.1,Overripe,20.44,0.55,18.17,224.08,2023-10-27,3.3,0.4,1514.7,119.9
9,Manzano,Brazil,1.82,Processing,2.5,Turning,15.46,3.53,23.59,110.91,2023-10-05,13.3,361.9,2387.0,104.6
10,Lady Finger,Honduras,2.02,Processing,3.94,Turning,18.41,0.73,11.13,153.16,2023-09-02,6.6,312.3,1079.4,120.1
11,Red Dacca,Costa Rica,1.29,Unripe,2.33,Turning,15.24,2.97,10.69,108.13,2023-09-04,16.5,375.7,2678.8,64.5
12,Manzano,Costa Rica,2.5,Processing,6.93,Overripe,15.44,1.79,17.84,200.12,2023-09-01,16.7,1208.9,1896.3,79.7
13,Red Dacca,Colombia,3.63,Premium,6.66,Overripe,21.35,1.88,23.94,171.01,2023-10-10,19.6,419.5,2273.4,25.9
14,Red Dacca,India,1.32,Unripe,1.24,Green,15.97,2.09,13.87,188.0,2023-09-29,11.0,287.3,1442.5,19.9
15,Fehi,Costa Rica,2.9,Good,5.23,Ripe,18.73,3.3,22.83,113.4,2023-09-20,10.2,756.4,2354.1,58.2
16,Burro,Colombia,2.75,Good,6.55,Overripe,17.88,2.0,15.2,116.0,2023-09-10,15.6,1298.5,2544.5,24.1
17,Plantain,Philippines,2.2,Processing,2.08,Turning,17.43,3.8,27.72,87.05,2023-09-28,4.4,362.0,1946.4,29.7
18,Fehi,India,3.38,Good,4.41,Ripe,21.3,2.32,27.91,134.75,2023-09-23,11.8,117.8,2235.5,164.5
19,Fehi,Honduras,2.19,Processing,6.49,Overripe,15.15,0.81,15.95,175.16,2023-09-10,11.8,534.6,1912.7,17.4
20,Red Dacca,Costa Rica,1.85,Processing,1.2,Green,19.65,4.03,14.6,225.85,2023-09-16,3.6,1121.5,2788.2,135.2
21,Blue Java,Guatemala,3.09,Good,5.18,Ripe,21.74,1.79,18.23,193.38,2023-09-29,9.5,826.0,1995.7,61.8
22,Burro,Ecuador,2.2,Processing,2.78,Turning,18.92,2.45,14.81,154.02,2023-09-17,17.4,1225.2,2683.6,175.6
23,Lady Finger,Philippines,3.54,Premium,6.55,Overripe,21.56,3.58,23.45,242.03,2023-10-24,17.4,1439.4,2602.7,102.1
24,Fehi,Philippines,2.84,Good,6.83,Overripe,15.37,2.0,26.52,202.27,2023-09-28,3.8,1189.0,1821.0,68.1
25,Plantain,Honduras,2.99,Good,6.67,Overripe,17.93,0.75,23.46,238.13,2023-10-27,3.6,905.7,1460.2,108.4
26,Blue Java,Colombia,2.5,Processing,3.85,Turning,16.82,2.18,26.49,169.69,2023-09-04,6.7,740.0,1812.2,82.6
27,Blue Java,Philippines,2.98,Good,6.17,Overripe,20.12,4.75,17.94,124.01,2023-09-03,17.7,60.1,2652.4,117.2
28,Lady Finger,India,3.05,Good,6.07,Overripe,21.87,3.39,13.13,88.98,2023-09-04,4.3,1476.5,1455.3,31.8
29,Fehi,Costa Rica,2.17,Processing,2.91,Turning,16.8,3.52,24.76,203.43,2023-09-03,15.0,575.2,2048.9,199.4
30,Plantain,Costa Rica,2.96,Good,5.97,Ripe,19.58,3.35,17.21,100.62,2023-09-11,3.8,228.3,2612.2,90.9
31,Burro,Guatemala,1.7,Processing,1.22,Green,16.39,1.4,23.43,131.47,2023-10-24,13.2,1000.1,1707.0,76.2
32,Cavendish,Honduras,2.58,Good,4.58,Ripe,18.96,2.38,15.41,170.52,2023-10-13,8.4,426.4,2284.4,144.9
33,Plantain,Ecuador,1.74,Processing,2.38,Turning,18.25,3.88,11.62,175.95,2023-09-27,16.2,878.7,1491.3,79.1
34,Lady Finger,Colombia,2.78,Good,1.72,Green,21.8,0.96,29.85,182.1,2023-09-27,6.2,880.2,1218.6,168.3
35,Blue Java,Ecuador,1.85,Processing,1.46,Green,19.26,1.75,13.12,108.26,2023-09-21,13.5,668.6,2588.8,96.3
36,Burro,Philippines,2.96,Good,5.18,Ripe,17.45,1.74,29.77,144.56,2023-09-28,6.2,1254.2,1197.9,146.7
37,Plantain,Honduras,2.32,Processing,3.04,Turning,15.8,2.44,29.55,184.92,2023-09-02,14.8,397.5,1542.8,30.4
38,Cavendish,Guatemala,2.44,Processing,5.35,Ripe,16.06,4.91,25.88,244.87,2023-09-26,17.7,672.9,2710.2,170.8
39,Cavendish,Ecuador,1.7,Processing,1.39,Green,16.58,0.8,23.19,203.7,2023-10-30,4.3,806.5,1692.9,149.8
40,Red Dacca,India,2.1,Processing,2.89,Turning,16.76,2.83,21.56,236.84,2023-10-08,17.6,995.4,2946.1,50.2
41,Red Dacca,Costa Rica,3.21,Good,4.24,Ripe,20.95,1.31,27.32,209.58,2023-10-13,12.7,1176.0,2959.5,37.6
42,Manzano,Philippines,2.6,Good,5.74,Ripe,18.93,4.87,15.79,180.59,2023-10-23,4.3,592.2,1536.6,70.1
43,Lady Finger,Guatemala,2.22,Processing,2.91,Turning,18.66,1.01,19.35,112.64,2023-09-07,9.7,969.1,1082.0,195.5
44,Fehi,Ecuador,2.36,Processing,4.76,Ripe,15.8,2.32,22.39,193.34,2023-10-19,4.9,225.9,2410.1,58.8
45,Plantain,Colombia,3.26,Good,6.32,Overripe,21.02,3.82,18.22,185.97,2023-09-05,14.6,1399.0,1902.0,96.7
46,Plantain,India,2.81,Good,4.7,Ripe,20.06,3.67,18.55,182.42,2023-10-02,15.7,574.6,1201.5,15.7
47,Fehi,India,1.61,Processing,2.4,Turning,15.47,2.4,16.61,163.26,2023-09-19,3.9,1094.3,2415.0,85.5
48,Manzano,Ecuador,2.26,Processing,1.15,Green,19.95,2.06,21.28,169.87,2023-10-03,11.1,30.5,1062.3,118.6
49,Blue Java,Costa Rica,3.34,Good,6.22,Overripe,18.8,2.29,27.01,136.86,2023-09-26,16.7,307.8,2740.4,191.1
50,Blue Java,Ecuador,1.2,Unripe,1.13,Green,15.57,1.69,14.03,168.28,2023-10-10,18.9,730.6,1277.3,108.2
51,Manzano,Philippines,3.22,Good,6.25,Overripe,18.21,1.42,28.69,113.58,2023-09-30,11.2,1317.4,1254.6,165.6
52,Blue Java,Ecuador,2.73,Good,4.17,Ripe,18.39,2.67,23.78,216.88,2023-09-28,19.1,790.9,1351.3,114.0
53,Red Dacca,India,2.9,Good,6.63,Overripe,16.16,1.71,26.47,111.58,2023-10-07,11.6,1394.8,2920.5,17.7
54,Plantain,Guatemala,3.33,Good,5.79,Ripe,21.62,1.79,21.12,94.44,2023-09-25,9.1,725.7,2386.3,69.9
55,Manzano,Ecuador,3.72,Premium,6.99,Overripe,20.95,3.46,25.59,154.16,2023-10-14,17.3,735.7,2602.7,119.4
56,Plantain,Costa Rica,1.98,Processing,3.1,Turning,19.68,4.86,10.32,191.91,2023-10-21,10.9,179.6,1795.3,190.6
57,Fehi,Honduras,3.04,Good,5.6,Ripe,18.24,3.22,26.37,154.41,2023-09-17,10.5,1204.0,1672.6,173.2
58,Cavendish,Guatemala,1.83,Processing,3.41,Turning,17.88,0.85,10.8,127.05,2023-09-29,10.8,370.4,1469.0,53.4
59,Red Dacca,Colombia,2.88,Good,3.88,Turning,19.56,0.84,27.8,174.89,2023-09-15,17.2,1349.4,1961.3,51.8
60,Burro,Brazil,2.96,Good,4.77,Ripe,18.82,4.78,29.84,138.99,2023-09-23,17.0,1366.2,2103.7,48.2
61,Red Dacca,Ecuador,2.29,Processing,6.24,Overripe,15.44,1.84,15.88,238.59,2023-09-24,9.3,1415.0,2263.5,185.3
62,Manzano,Costa Rica,2.79,Good,6.9,Overripe,18.59,0.91,14.21,236.85,2023-10-01,8.0,780.3,1514.2,172.0
63,Burro,Guatemala,3.4,Good,5.61,Ripe,20.64,3.2,25.31,165.4,2023-09-25,10.9,1015.6,2897.3,157.2
64,Cavendish,Costa Rica,2.16,Processing,3.51,Turning,18.21,3.31,15.06,135.74,2023-09-28,12.3,1167.8,1339.5,84.6
65,Manzano,Colombia,2.17,Processing,3.53,Turning,15.36,3.42,27.31,205.31,2023-09-30,6.3,196.5,2931.3,105.8
66,Lady Finger,India,2.81,Good,5.43,Ripe,20.5,1.7,12.06,86.24,2023-10-30,16.3,901.4,1029.7,98.2
67,Plantain,Costa Rica,1.43,Unripe,2.43,Turning,16.41,0.57,12.52,160.71,2023-10-25,10.8,51.4,1962.3,58.1
